code,name,is_etf
000782,恒申新材,False
000783,长江证券,False
000785,居然智家,False
000786,北新建材,False
000788,北大医药,False
000789,万年青,False
000790,华神科技,False
000791,甘肃能源,False
000792,盐湖股份,False
000795,英洛华,False
000796,凯撒旅业,False
000797,中国武夷,False
000798,中水渔业,False
000799,酒鬼酒,False
000800,一汽解放,False
000801,四川九洲,False
000802,北京文化,False
000803,山高环能,False
000806,银河退,False
000807,云铝股份,False
000809,和展能源,False
000810,创维数字,False
000811,冰轮环境,False
000812,陕西金叶,False
000813,德展健康,False
000815,美利云,False
000816,智慧农业,False
000817,辽河油田,False
000818,航锦科技,False
000819,岳阳兴长,False
000822,山东海化,False
000823,超声电子,False
000825,太钢不锈,False
000826,启迪环境,False
000828,东莞控股,False
000829,天音控股,False
000830,鲁西化工,False
000831,中国稀土,False
000833,粤桂股份,False
000835,长动退,False
000837,秦川机床,False
000838,财信发展,False
000839,国安股份,False
000848,承德露露,False
000850,华茂股份,False
000852,石化机械,False
000856,冀东装备,False
000858,五粮液,False
000859,国风新材,False
000860,顺鑫农业,False
000861,海印股份,False
000862,银星能源,False
000863,三湘印象,False
000866,扬子石化,False
000868,安凯客车,False
000869,张裕Ａ,False
000875,电投绿能,False
000876,新希望,False
000877,天山股份,False
000878,云南铜业,False
000880,潍柴重机,False
000881,中广核技,False
000882,华联股份,False
000883,湖北能源,False
000885,城发环境,False
000886,海南高速,False
000887,中鼎股份,False
000888,峨眉山Ａ,False
000889,中嘉博创,False
000890,法尔胜,False
000892,欢瑞世纪,False
000893,亚钾国际,False
000895,双汇发展,False
000897,津滨发展,False
000898,鞍钢股份,False
000899,赣能股份,False
000900,现代投资,False
000901,航天科技,False
000902,新洋丰,False
000905,厦门港务,False
000906,浙商中拓,False
000910,大亚圣象,False
000911,广农糖业,False
000912,泸天化,False
000913,钱江摩托,False
000915,华特达因,False
000916,华北高速,False
000917,电广传媒,False
000919,金陵药业,False
000920,沃顿科技,False
000921,海信家电,False
000922,佳电股份,False
000923,河钢资源,False
000925,众合科技,False
